Date,Order Id,Nonprofit,Donation Currency,Donation Amount,Fee
25/01/2019,DE124b535a67446,Evidyaloka Trust,AED,100,0.79
10/2/2019,DE125f9d4664be1,Bal Sansar Sanstha,USD,10,0.42
10/2/2019,DE12606de1876f2,Bangalore Baptist Hospital Society,USD,563,12.56
11/2/2019,DE1261b599bd037,Mantra Social Services,USD,36,0.99
13/02/2019,DE126452202504e,Sant Singaji Educational Society,USD,15,0.53
16/02/2019,DE1267fb5915995,The CounterMedia Trust,USD,25,0.75
16/02/2019,DE126807dc68cf2,The Association of People with Disability,USD,100,2.4
16/02/2019,DE1268083ee2a55,Bal Sansar Sanstha,USD,100,2.4
16/02/2019,DE12682c31304b4,Vaishnavi Welfare and Charitable Trust,CAD,20,0.53
16/02/2019,DE12684624205cc,Reaching Sky Foundation,USD,50,1.3
17/02/2019,DE1268d69346545,Prayas,USD,200,4.61
17/02/2019,DE1268dc5b682fe,Bangalore Medical Services Trust,USD,200,4.61
17/02/2019,DE12694569cbba8,Bhumi,GBP,10,0.34
17/02/2019,DE126967f733ce5,Babul Films Society,AUD,20,0.51
17/02/2019,DE12697012e3bc5,Gir Pachhat Jati Vikas Seva Samiti,GBP,28,0.59
17/02/2019,DE126994ff2c3e5,Y4D Foundation,USD,50,1.3
17/02/2019,DE1269a9d3348b0,Vidyarthi Sahayak Samiti,AED,129,0.97
17/02/2019,DE1269ad86eb743,Agrasar,GBP,6,0.28
17/02/2019,DE1269c0fc14d8c,Simple Education Foundation,USD,100,2.4
18/02/2019,DE126acabcd6a32,Gir Pachhat Jati Vikas Seva Samiti,USD,36,0.99
18/02/2019,DE126acc9d746be,Amenity Lifeline Emergency Response Team (ALERT),USD,25,0.75
18/02/2019,DE126adee34ef4e,Bangalore Baptist Hospital Society,USD,50,1.3
18/02/2019,DE126ae15123c42,Hariraj Charitable Trust,USD,101,2.42
18/02/2019,DE126b2b6420a65,Collective action for Basic Rights Foundation (CBRF),EUR,8,0.3
19/02/2019,DE126b7a122d2f8,E and H Foundation,USD,150,3.5
19/02/2019,DE126b7a2f0b227,Hyderabad Eye Institute ( L V Prasad Eye Institute),USD,25,0.75
19/02/2019,DE126b7e8c0ba5f,PURE India Trust,USD,50,1.3
19/02/2019,DE126bdf96e7e7a,Let's Live Together Charitable Trust,AUD,25,0.59
19/02/2019,DE126c0075e827c,Agrasar,USD,101,2.42
19/02/2019,DE126c045fcb5f5,Gubbachi Learning Community,CAD,10,0.37
19/02/2019,DE126c072b2ee45,Barefoot Edu Foundation (Kokanes Kohinoor Technical Trust),USD,100,2.4
19/02/2019,DE126c0e09e6005,Centre for Wildlife Studies,USD,50,1.3
19/02/2019,DE126c271744c28,Gubbachi Learning Community,USD,100,2.4
19/02/2019,DE126c295c1d7c2,Dream a Dream,USD,22,0.68
19/02/2019,DE126c2bad881b0,Bangiya Ayurveda Samaj,USD,25,0.75
19/02/2019,DE126c3625ac4a9,Sanjeevani Life Beyond Cancer,USD,20,0.64
19/02/2019,DE126c402571461,Navnirman Trust (Jagrutha Mahila Sanghatan),USD,250,5.7
19/02/2019,DE126c42636d3f0,Sahyog Care For You,GBP,6,0.37
19/02/2019,DE126c5f056127d,Y4D Foundation,EUR,5,0.32
19/02/2019,DE126c98371ee6f,Humana People to People India,CAD,25,0.61
20/02/2019,DE126c991a7ffa6,Yuvraj Singh Foundation,USD,10,0.42
20/02/2019,DE126c99c5d02a9,Sethu Trust,USD,25,0.75
20/02/2019,DE126c9a45c2d07,Khel Khel Mein Foundation,USD,15,0.53
20/02/2019,DE126ca01be2c0e,Barefoot Edu Foundation (Kokanes Kohinoor Technical Trust),USD,20,0.64
20/02/2019,DE126ca39e22e07,Let's Live Together Charitable Trust,USD,20,0.64
20/02/2019,DE126ca7e29449f,Susheel Foundation,USD,50,1.29
20/02/2019,DE126cc3575fb6e,Cross Blood Foundation,USD,20,0.64
20/02/2019,DE126cd9d579f69,Bangalore Medical Services Trust,USD,36,0.98
20/02/2019,DE126cda03b2021,Deva Kirubai Social Help Association - DKSHA,USD,40,1.07
20/02/2019,DE126d3d29aad54,Vanavil Trust,SGD,30,0.68
20/02/2019,DE126d763193506,RadhaKrushna Charitable Trust,USD,36,0.99
20/02/2019,DE126d851886880,Cuddles Foundation,USD,36,0.99
20/02/2019,DE126d9229191b5,Bangiya Ayurveda Samaj,USD,25,0.75
20/02/2019,DE126d978712599,Sant Singaji Educational Society,USD,50,1.29
20/02/2019,DE126d9b863fa0c,Agrasar,USD,30,0.85
21/02/2019,DE126e28b2bd5a8,Vidyarthi Sahayak Samiti,USD,100,2.38
21/02/2019,DE126e538cad352,Agrasar,USD,70,1.73
21/02/2019,DE126ea04310059,Deendayal Navrachna Pratisthan Sondara Gurukul Domri,SGD,101,1.82
21/02/2019,DE126ea32370e88,Khel Khel Mein Foundation,AUD,20,0.51
